PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2017-07-05 16:15:43,2178304,1,1,DAP,"financeiroRendimentoPos.php",CAPAU-251028,Letter,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,92kb,
2017-07-06 08:05:47,2151590,1,1,Almoxarifado,"Microsoft Word - Demonstrativo_Anual_RECEITA_Junho 2017",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,289kb,
2017-07-06 08:06:06,2151590,2,1,Almoxarifado,"Microsoft Word - Demonstrativo_Anual_DESPESA_Junho 2017",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,667kb,
2017-07-06 08:26:30,2151590,1,1,Almoxarifado,"Memorando 192017.jpg",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1128kb,
2017-07-06 08:26:30,2151590,1,1,Almoxarifado,"Memorando 192017.jpg",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1128kb,
2017-07-06 08:43:23,2151590,1,1,Almoxarifado,"Microsoft Word - despacho para empenho",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,381kb,
2017-07-06 08:44:25,2151590,1,1,Almoxarifado,"Microsoft Word - despacho para empenho",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,381kb,
2017-07-06 08:45:46,2151590,1,1,DAP,"Microsoft Word - despacho para empenho",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,208kb,
2017-07-06 09:26:43,2151590,1,1,Almoxarifado,"Microsoft Word - Requerimento SEFAZ PNAE",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,207kb,
2017-07-06 15:36:36,2257309,2,1,Almoxarifado,"Microsoft Word - Documento1",CAPAU-251000,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1191kb,
2017-07-06 15:37:44,2257309,2,1,Almoxarifado,"Microsoft Word - Documento1",CAPAU-251000,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1191kb,
2017-07-06 15:39:26,2151590,8,1,Almoxarifado,"Microsoft Word - Memo nº 09 de 2017",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1499kb,
2017-07-06 15:48:28,2151590,1,1,Almoxarifado,"consultarSituacaoFornecedor.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1204kb,
2017-07-06 15:48:29,2151590,1,1,Almoxarifado,"consultarSituacaoFornecedor.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1204kb,
2017-07-06 15:51:08,2151590,1,1,Almoxarifado,"http://www.receita.fazenda.gov.br/Aplicacoes/ATSPO/Certidao/CNDConjuntaSegVia/ResultadoSegVia.asp?Origem=1&Tipo=1&NI=07756312000179&Senha=",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,302kb,
2017-07-06 15:54:35,2151590,1,1,Almoxarifado,"certidao_07756312000179.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,287kb,
2017-07-06 15:54:35,2151590,1,1,Almoxarifado,"certidao_07756312000179.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,287kb,
2017-07-06 15:56:15,2151590,1,1,Almoxarifado,"https://www.sifge.caixa.gov.br/Empresa/Crf/Crf/FgeCFSImprimirPa",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,276kb,
2017-07-06 15:56:36,2151590,1,1,Almoxarifado,"Portal da Transparência - Cadastro de Empresas Inidôneas e Suspensas",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,269kb,
2017-07-06 15:58:38,2151590,1,1,Almoxarifado,"certidaoNegativa.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,256kb,
2017-07-06 15:58:38,2151590,1,1,Almoxarifado,"certidaoNegativa.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,256kb,
2017-07-06 16:11:24,2151590,1,1,Almoxarifado,"Microsoft Word - RELATÓRIO INEXIGIBILIDADE",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,213kb,
2017-07-07 08:03:34,2151590,1,1,Almoxarifado,"consultarSituacaoFornecedor.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1157kb,
2017-07-07 08:03:36,2151590,1,1,Almoxarifado,"consultarSituacaoFornecedor.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1157kb,
2017-07-07 08:04:19,2151590,1,1,Almoxarifado,"consultarSituacaoFornecedor-1.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1129kb,
2017-07-07 08:04:20,2151590,1,1,Almoxarifado,"consultarSituacaoFornecedor-1.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1129kb,
2017-07-07 08:05:07,2151590,1,1,Almoxarifado,"consultarSituacaoFornecedor-2.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1195kb,
2017-07-07 08:05:08,2151590,1,1,Almoxarifado,"consultarSituacaoFornecedor-2.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1195kb,
2017-07-07 08:07:15,2151590,1,1,Almoxarifado,"certidao_63505812000109.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,286kb,
2017-07-07 08:07:15,2151590,1,1,Almoxarifado,"certidao_63505812000109.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,286kb,
2017-07-07 08:08:08,2151590,1,1,Almoxarifado,"certidao_11436412000195.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,287kb,
2017-07-07 08:08:08,2151590,1,1,Almoxarifado,"certidao_11436412000195.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,287kb,
2017-07-07 08:08:57,2151590,1,1,Almoxarifado,"certidao_15811210000137.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,287kb,
2017-07-07 08:08:57,2151590,1,1,Almoxarifado,"certidao_15811210000137.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,287kb,
2017-07-07 08:09:40,2151590,1,1,Almoxarifado,"Portal da Transparência - Cadastro de Empresas Inidôneas e Suspensas",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,272kb,
2017-07-07 08:09:57,2151590,1,1,Almoxarifado,"Portal da Transparência - Cadastro de Empresas Inidôneas e Suspensas",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,272kb,
2017-07-07 08:10:12,2151590,1,1,Almoxarifado,"Portal da Transparência - Cadastro de Empresas Inidôneas e Suspensas",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,267kb,
2017-07-07 08:11:04,2151590,1,1,Almoxarifado,"certidaoNegativa.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,255kb,
2017-07-07 08:11:04,2151590,1,1,Almoxarifado,"certidaoNegativa.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,255kb,
2017-07-07 08:11:45,2151590,1,1,Almoxarifado,"certidaoNegativa-1.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,256kb,
2017-07-07 08:11:45,2151590,1,1,Almoxarifado,"certidaoNegativa-1.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,256kb,
2017-07-07 08:12:18,2151590,1,1,Almoxarifado,"certidaoNegativa-2.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,253kb,
2017-07-07 08:12:18,2151590,1,1,Almoxarifado,"certidaoNegativa-2.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,253kb,
2017-07-07 08:13:32,2151590,1,1,Almoxarifado,"https://contas.tcu.gov.br/certidao/Web/Certidao/NadaConsta/home.faces;jsessionid=18dYTWt0jsJ3W0JAWvOl670O.host1a10:ce03-arqref7",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,325kb,
2017-07-07 08:14:08,2151590,1,1,Almoxarifado,"https://contas.tcu.gov.br/certidao/Web/Certidao/NadaConsta/home.faces",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,323kb,
2017-07-07 08:14:28,2151590,1,1,Almoxarifado,"https://contas.tcu.gov.br/certidao/Web/Certidao/NadaConsta/home.faces",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,323kb,
2017-07-07 08:18:56,2151590,1,1,Almoxarifado,"Microsoft Word - Despacho empenho pregao",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,209kb,
2017-07-10 10:26:12,2151590,1,1,Almoxarifado,"ACFrOgCAcaA8IGygJSHFODOyjIgXXFHmq_DaIjSEYOmyBl3S4hSSqI2qtQebs9RMsPMAU5w55BVpcFL65V3qquEe0VtTFkcdN0YTrgt15pUY5lqgoIetCbSYic-8SY0=",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,845kb,
2017-07-10 11:36:02,2178304,1,1,DAP,"Microsoft Word - ALTERAÇÃO DE FÉRIAS OK",CAPAU-251028,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,94kb,
2017-07-10 14:34:22,2151590,1,1,Almoxarifado,"SIASGnet-DC - Disponibilizar Aviso de Licitação para Publicação-Divulgação",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,884kb,
2017-07-10 14:36:55,2151590,1,1,Almoxarifado,"SIASGnet-DC - Disponibilizar Aviso de Evento de Licitação para Publicação-Divulgação",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,883kb,
2017-07-10 14:38:20,2151590,5,1,Almoxarifado,"RelacaoItens15835905000052017000.pdf",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,4959kb,
2017-07-10 15:00:05,2151590,1,1,Almoxarifado,"Microsoft Word - Consulta de preço Timbre",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1171kb,
2017-07-10 15:06:13,2151590,1,1,Almoxarifado,"gerarPDF.asp",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1403kb,
2017-07-10 15:13:07,2151590,1,1,Almoxarifado,"Microsoft Word - Consulta de preço Timbre",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1139kb,
2017-07-11 08:17:21,2151590,1,1,Almoxarifado,"PDF.js viewer",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2098kb,
2017-07-11 08:34:20,2762200,1,1,Almoxarifado,"Relatórios 80 colunas - B",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,846kb,
2017-07-11 08:34:35,2762200,2,1,Almoxarifado,"Relatórios 80 colunas - B",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1485kb,
2017-07-11 08:36:29,2762200,2,1,Almoxarifado,"Relatórios 80 colunas - B",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1485kb,
2017-07-11 08:36:54,2151590,1,1,Almoxarifado,"PDF.js viewer",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2098kb,
2017-07-11 08:37:13,2762200,1,1,Almoxarifado,"Relatórios 80 colunas - B",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,846kb,
2017-07-11 08:37:59,2151590,1,1,Almoxarifado,"IFPI PAULISTANA COTACAO.pdf",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,7725kb,
2017-07-11 08:42:20,2160484,1,1,Almoxarifado,"Microsoft Word - Documento1",CAPAU-251024,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,562kb,
2017-07-11 08:44:07,2151590,1,1,Almoxarifado,"IFPI PAULISTANA COTACAO.pdf",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,7725kb,
2017-07-11 10:38:37,2000524,1,1,DAP,"Microsoft Word - Têm sido cada vez recorrentes os estudos acerca do estudos das forças que impulsionam os colaboradores nas Organizações",CAPAU-251021,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,218kb,
2017-07-11 13:47:00,2762200,1,1,Almoxarifado,"Simples Nacional",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1002kb,
2017-07-11 13:48:40,2762200,1,1,Almoxarifado,"consultarSituacaoFornecedor.pdf",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1150kb,
2017-07-11 14:01:00,2762200,1,1,Almoxarifado,"certidao_20991439000130.pdf",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1070kb,
2017-07-11 14:37:38,2178304,2,1,Almoxarifado,"Microsoft Word - COLETIVO",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2021kb,
2017-07-12 08:28:46,2762200,1,1,Almoxarifado,"Simples Nacional",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1000kb,
2017-07-12 08:29:33,2762200,1,1,Almoxarifado,"certidao_23387060000104.pdf",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1063kb,
2017-07-12 08:32:28,2762200,1,1,Almoxarifado,"https://www.sifge.caixa.gov.br/Empresa/...=&VARCoNumRegul=2017062904214293776806",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,884kb,
2017-07-12 09:58:02,2178304,1,1,Almoxarifado,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1421kb,
2017-07-12 10:00:04,2178304,1,1,Almoxarifado,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1421kb,
2017-07-12 14:46:51,2151590,2,1,Almoxarifado,"ACFrOgDKhT8RhBOLfBifz2Md6Ti4YXdBhHLw23wi2hy0h9aFjdD82iMu4km6D8t-w344JpG1eBj8Jkwsgm5fnz7mQokzVLbnCyn7ULR8dsBsTn_MY3rG5DQSh8ht_Z4=",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1771kb,
2017-07-12 14:47:02,2151590,2,1,Almoxarifado,"ACFrOgCKV4dquXu79RQC2g5EA1N4hQpQrjRAgC9YkN801PKAjh0NcDp1jw8pffDsk-RuxMfKQcGNuvMHEUXPgnGEFfP5lOdJpXAiNkaYrBDppZZidhnPvbyprORH07w=",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1771kb,
2017-07-12 14:47:13,2151590,2,1,Almoxarifado,"ACFrOgCx368M8hkN6u6yBSVO-Y-eVa5uBwijK0bBaIGoY_2phrXY50sZffq3Up62aWuR9zjy9s_1mBBgM3sRFYopUkqs9V8BPnu4MzITt1zIVDy131AzbtzbnZaH6w0=",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1770kb,
2017-07-12 15:21:29,2151590,1,1,Almoxarifado,"Microsoft Word - Memo 61",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,866kb,
2017-07-12 15:59:59,2151590,1,1,Almoxarifado,"Microsoft Word - Memo 61",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,890kb,
2017-07-12 16:15:54,2151185,7,1,Pedagogico,"RECUPERAÇÃO DO segundo ANO DE AGro e min.pdf",CAPAU-251013,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,1256kb,
2017-07-12 16:17:06,2151185,1,1,Pedagogico,"RECUPERAÇÃO DO segundo ANO DE AGro e min.pdf",CAPAU-251013,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,232kb,
2017-07-12 16:19:11,2151185,1,1,Pedagogico,"RECUPERAÇÃO DO segundo ANO DE AGro e min.pdf",CAPAU-251013,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,232kb,
2017-07-12 16:20:52,2152058,7,1,Pedagogico,"RECUPERAÇÃO DO segundo ANO DE AGro e min.pdf",CAPAU-251018,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,1256kb,
2017-07-12 16:22:16,2152058,1,1,Pedagogico,"RECUPERAÇÃO DO segundo ANO DE AGro e min.pdf",CAPAU-251018,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,232kb,
2017-07-12 16:28:21,2152058,1,1,Pedagogico,"Página de teste",CAPAU-251018,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,60kb,
2017-07-12 16:55:05,1060949,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111255,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1363kb,
2017-07-12 19:04:50,1060949,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111255,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1363kb,
2017-07-12 19:05:43,1060949,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111255,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1363kb,
2017-07-12 19:07:05,1060949,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111255,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1363kb,
2017-07-13 07:58:23,2178394,2,1,Biblioteca,"ACFrOgAbFBTzyHgKV_gL8gHAarS0pbrjanC22d2JrGvfTv8uupyTfc7LWeUTBhQvY3CO75TCWLSqySvzJcuRhw7Zb3NwqBf9iw6lPU4rd_J9PHXR6D10T5Rhn5ptfOk=",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1449kb,
2017-07-13 07:58:35,2178394,2,1,Biblioteca,"ACFrOgAbFBTzyHgKV_gL8gHAarS0pbrjanC22d2JrGvfTv8uupyTfc7LWeUTBhQvY3CO75TCWLSqySvzJcuRhw7Zb3NwqBf9iw6lPU4rd_J9PHXR6D10T5Rhn5ptfOk=",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1449kb,
2017-07-13 07:59:17,2178394,2,1,Biblioteca,"ACFrOgAbFBTzyHgKV_gL8gHAarS0pbrjanC22d2JrGvfTv8uupyTfc7LWeUTBhQvY3CO75TCWLSqySvzJcuRhw7Zb3NwqBf9iw6lPU4rd_J9PHXR6D10T5Rhn5ptfOk=",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1452kb,
2017-07-13 07:59:55,2178394,2,1,Biblioteca,"ACFrOgAbFBTzyHgKV_gL8gHAarS0pbrjanC22d2JrGvfTv8uupyTfc7LWeUTBhQvY3CO75TCWLSqySvzJcuRhw7Zb3NwqBf9iw6lPU4rd_J9PHXR6D10T5Rhn5ptfOk=",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1452kb,
